"class","term","property","parent term","depth","term kind","field tier","abstract","description","rdfs:comment","json path","reached via paths"
"Inference","measuredProperty.identifier","identifier","measuredProperty","2","validation property","","","An identifier associated with the property","","hits[Inference].validation.properties.measuredProperty.anyOf[0].properties.identifier","2"
"Inference","measuredProperty.url","url","measuredProperty","2","validation property","","","The url of the property","","hits[Inference].validation.properties.measuredProperty.anyOf[0].properties.url","2"
"Inference","measuredProperty.name","name","measuredProperty","2","validation property","","","The name of the item.","","hits[Inference].validation.properties.measuredProperty.anyOf[2].properties.name","2"
"Inference","measuredProperty.identifier","identifier","measuredProperty","2","validation property","","","The identifier property represents any kind of identifier for any kind of Thing, such as ISBNs, GTIN codes, UUIDs etc. Schema.org provides dedicated properties for representing many of these, either as textual strings or as URL (URI) links. See background notes for more details.","","hits[Inference].validation.properties.measuredProperty.anyOf[2].properties.identifier","2"
"Inference","measuredProperty.url","url","measuredProperty","2","validation property","","","URL of the item.","","hits[Inference].validation.properties.measuredProperty.anyOf[2].properties.url","2"
"Inference","measuredProperty.termCode","termCode","measuredProperty","2","validation property","","","A code that identifies this DefinedTerm within a DefinedTermSet.","","hits[Inference].validation.properties.measuredProperty.anyOf[2].properties.termCode","2"
"Inference","measuredProperty.description","description","measuredProperty","2","validation property","","","A description of the item.","","hits[Inference].validation.properties.measuredProperty.anyOf[2].properties.description","2"
"Inference","measuredProperty.inDefinedTermSet","inDefinedTermSet","measuredProperty","2","validation property","","","A DefinedTermSet that contains this term.","","hits[Inference].validation.properties.measuredProperty.anyOf[2].properties.inDefinedTermSet","2"
"Inference","measuredProperty.originalName","originalName","measuredProperty","2","validation property","","","The original name of the item, before any metadata standardization/normalization","","hits[Inference].validation.properties.measuredProperty.anyOf[2].properties.originalName","2"
"Inference","measuredProperty.isCurated","isCurated","measuredProperty","2","validation property","","","A boolean indicator describing whether or not this DefinedTerm was curated as the value of a property.","","hits[Inference].validation.properties.measuredProperty.anyOf[2].properties.isCurated","2"
"Inference","measurementTechnique","measurementTechnique","","1","validation property","recommended","","A technique, method or technology used in an [[Observation]], [[StatisticalVariable]] or [[Dataset]] (or [[DataDownload]], [[DataCatalog]]), corresponding to the method used for measuring the corresponding variable(s) (for datasets, described using [[variableMeasured]]; for [[Observation]], a [[StatisticalVariable]]). Often but not necessarily each [[variableMeasured]] will have an explicit representation as (or mapping to) an property such as those defined in Schema.org, or other RDF vocabularies and ""knowledge graphs"". In that case the subproperty of [[variableMeasured]] called [[measuredProperty]] is applicable.
    
The [[measurementTechnique]] property helps when extra clarification is needed about how a [[measuredProperty]] was measured. This is oriented towards scientific and scholarly dataset publication but may have broader applicability; it is not intended as a full representation of measurement, but can often serve as a high level summary for dataset discovery. 

For example, if [[variableMeasured]] is: molecule concentration, [[measurementTechnique]] could be: ""mass spectrometry"" or ""nmr spectroscopy"" or ""colorimetry"" or ""immunofluorescence"". If the [[variableMeasured]] is ""depression rating"", the [[measurementTechnique]] could be ""Zung Scale"" or ""HAM-D"" or ""Beck Depression Inventory"". 

If there are several [[variableMeasured]] properties recorded for some given data object, use a [[PropertyValue]] for each [[variableMeasured]] and attach the corresponding [[measurementTechnique]]. The value can also be from an enumeration, organized as a [[MeasurementMethodEnum]].","A technique, method or technology used in an Observation, StatisticalVariable or Dataset (or DataDownload, DataCatalog), corresponding to the method used for measuring the corresponding variable(s) (for datasets, described using variableMeasured; for Observation, a StatisticalVariable). For example, if variableMeasured is: molecule concentration, measurementTechnique could be: ""mass spectrometry"" or ""nmr spectroscopy"" or ""colorimetry"" or ""immunofluorescence"". If the variableMeasured is ""depression rating"", the measurementTechnique could be ""Zung Scale"" or ""HAM-D"" or ""Beck Depression Inventory"".","hits[Inference].validation.properties.measurementTechnique","1"
"Inference","measurementTechnique.name","name","measurementTechnique","2","validation property","","","The name of the item.","","hits[Inference].validation.properties.measurementTechnique.anyOf[1].properties.name","2"
"Inference","measurementTechnique.identifier","identifier","measurementTechnique","2","validation property","","","The identifier property represents any kind of identifier for any kind of Thing, such as ISBNs, GTIN codes, UUIDs etc. Schema.org provides dedicated properties for representing many of these, either as textual strings or as URL (URI) links. See background notes for more details.","","hits[Inference].validation.properties.measurementTechnique.anyOf[1].properties.identifier","2"
"Inference","measurementTechnique.url","url","measurementTechnique","2","validation property","","","URL of the item.","","hits[Inference].validation.properties.measurementTechnique.anyOf[1].properties.url","2"
"Inference","measurementTechnique.termCode","termCode","measurementTechnique","2","validation property","","","A code that identifies this DefinedTerm within a DefinedTermSet.","","hits[Inference].validation.properties.measurementTechnique.anyOf[1].properties.termCode","2"
"Inference","measurementTechnique.description","description","measurementTechnique","2","validation property","","","A description of the item.","","hits[Inference].validation.properties.measurementTechnique.anyOf[1].properties.description","2"
"Inference","measurementTechnique.inDefinedTermSet","inDefinedTermSet","measurementTechnique","2","validation property","","","A DefinedTermSet that contains this term.","","hits[Inference].validation.properties.measurementTechnique.anyOf[1].properties.inDefinedTermSet","2"
"Inference","measurementTechnique.originalName","originalName","measurementTechnique","2","validation property","","","The original name of the item, before any metadata standardization/normalization","","hits[Inference].validation.properties.measurementTechnique.anyOf[1].properties.originalName","2"
"Inference","measurementTechnique.isCurated","isCurated","measurementTechnique","2","validation property","","","A boolean indicator describing whether or not this DefinedTerm was curated as the value of a property.","","hits[Inference].validation.properties.measurementTechnique.anyOf[1].properties.isCurated","2"
"Inference","measurementDenominator","measurementDenominator","","1","validation property","recommended","","A numeric value and unit for a property with potentially different units","","hits[Inference].validation.properties.measurementDenominator","1"
"Inference","measurementDenominator.name","name","measurementDenominator","2","validation property","","","Name of the item","","hits[Inference].validation.properties.measurementDenominator.properties.name","1"
"Inference","measurementDenominator.identifier","identifier","measurementDenominator","2","validation property","","","An identifier associated with the item","","hits[Inference].validation.properties.measurementDenominator.properties.identifier","1"
"Inference","measurementDenominator.statType","statType","measurementDenominator","2","validation property","","","Indicates the kind of statistic represented by a StatisticalVariable, e.g. mean, count etc. The value of statType is a property, either from within Schema.org (e.g. median, marginOfError, maxValue, minValue) or from other compatible (e.g. RDF) systems such as DataCommons.org or Wikidata.org. ","","hits[Inference].validation.properties.measurementDenominator.properties.statType","1"
"Inference","measurementDenominator.populationType","populationType","measurementDenominator","2","validation property","","","Indicates the populationType common to all members of a StatisticalPopulation or all cases within the scope of a StatisticalVariable.","","hits[Inference].validation.properties.measurementDenominator.properties.populationType","1"
"Inference","measurementDenominator.populationType.name","name","measurementDenominator.populationType","3","validation property","","","The name of the item.","","hits[Inference].validation.properties.measurementDenominator.properties.populationType.oneOf[0].properties.name","1"
"Inference","measurementDenominator.populationType.identifier","identifier","measurementDenominator.populationType","3","validation property","","","The identifier property represents any kind of identifier for any kind of Thing, such as ISBNs, GTIN codes, UUIDs etc. Schema.org provides dedicated properties for representing many of these, either as textual strings or as URL (URI) links. See background notes for more details.","","hits[Inference].validation.properties.measurementDenominator.properties.populationType.oneOf[0].properties.identifier","1"
"Inference","measurementDenominator.populationType.url","url","measurementDenominator.populationType","3","validation property","","","URL of the item.","","hits[Inference].validation.properties.measurementDenominator.properties.populationType.oneOf[0].properties.url","1"
"Inference","measurementDenominator.populationType.termCode","termCode","measurementDenominator.populationType","3","validation property","","","A code that identifies this DefinedTerm within a DefinedTermSet.","","hits[Inference].validation.properties.measurementDenominator.properties.populationType.oneOf[0].properties.termCode","1"
"Inference","measurementDenominator.populationType.description","description","measurementDenominator.populationType","3","validation property","","","A description of the item.","","hits[Inference].validation.properties.measurementDenominator.properties.populationType.oneOf[0].properties.description","1"
"Inference","measurementDenominator.populationType.inDefinedTermSet","inDefinedTermSet","measurementDenominator.populationType","3","validation property","","","A DefinedTermSet that contains this term.","","hits[Inference].validation.properties.measurementDenominator.properties.populationType.oneOf[0].properties.inDefinedTermSet","1"
"Inference","measurementDenominator.populationType.originalName","originalName","measurementDenominator.populationType","3","validation property","","","The original name of the item, before any metadata standardization/normalization","","hits[Inference].validation.properties.measurementDenominator.properties.populationType.oneOf[0].properties.originalName","1"
"Inference","measurementDenominator.populationType.isCurated","isCurated","measurementDenominator.populationType","3","validation property","","","A boolean indicator describing whether or not this DefinedTerm was curated as the value of a property.","","hits[Inference].validation.properties.measurementDenominator.properties.populationType.oneOf[0].properties.isCurated","1"
"Inference","measurementDenominator.populationType.description","description","measurementDenominator.populationType","3","validation property","","","Description of the referenced work","","hits[Inference].validation.properties.measurementDenominator.properties.populationType.oneOf[2].properties.description","1"
"Inference","measurementDenominator.populationType.name","name","measurementDenominator.populationType","3","validation property","","","Name or title","","hits[Inference].validation.properties.measurementDenominator.properties.populationType.oneOf[2].properties.name","1"
